index,ODDO1,00:00:00,00:30:00,01:00:00,01:30:00,02:00:00,02:30:00,03:00:00,03:30:00,04:00:00,04:30:00,05:00:00,05:30:00,06:00:00,06:30:00,07:00:00,07:30:00,08:00:00,08:30:00,09:00:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00
17756,-35.71728970000004,7528736,7362416,7324912,7484112,7573776,7376144,7378432,7390928,7351088,7443712,7343840,7334144,7497680,7473712,7474544,7425456,7367056,7564320,7526576,7378896,7360432,7507248,7373712,7366016
17757,-35.14485980000006,7528736,7362416,7324912,7484112,7573776,7376144,7378432,7390928,7351088,7443712,7343840,7334144,7497680,7473712,7474544,7425456,7367056,7564320,7526576,7378896,7360432,7507248,7373712,7366016
17758,-34.57242990000009,7528736,7362416,7324912,7484112,7573776,7376144,7378432,7390928,7351088,7443712,7343840,7334144,7497680,7473712,7474544,7425456,7367056,7564320,7526576,7378896,7360432,7507248,7373712,7366016
17759,-34.0,7528736,7362416,7324912,7484112,7573776,7376144,7378432,7390928,7351088,7443712,7343840,7334144,7497680,7473712,7474544,7425456,7367056,7564320,7526576,7378896,7360432,7507248,7373712,7366016
17760,-33.427570100000025,7528736,7362416,7324912,7484112,7573776,7376144,7378432,7390928,7351088,7443712,7343840,7334144,7497680,7473712,7474544,7425456,7367056,7564320,7526576,7378896,7360432,7507248,7373712,7366016
17761,-32.85514020000005,7528736,7362416,7324912,7484112,7573776,7376144,7378432,7390928,7351088,7443712,7343840,7334144,7497680,7473712,7474544,7425456,7367056,7564320,7526576,7378896,7360432,7507248,7373712,7366016
17762,-32.282710300000076,7528736,7362416,7324912,7484112,7573776,7376144,7378432,7390928,7351088,7443712,7343840,7334144,7497680,7473712,7474544,7425456,7367056,7564320,7526576,7378896,7360432,7507248,7373712,7366016
17763,-31.710280399999988,7528736,7362416,7324912,7484112,7573776,7376144,7378432,7390928,7351088,7443712,7343840,7334144,7497680,7473712,7474544,7425456,7367056,7564320,7526576,7378320,7360432,7507248,7373712,7366016
17764,-31.137850500000013,7528736,7362416,7324912,7484112,7573776,7376144,7378432,7390928,7351088,7443712,7343840,7334144,7497680,7468880,7474544,7425456,7367056,7564320,7526576,7378320,7360432,7507248,7373712,7366016
17765,-30.56542060000004,7528736,7362416,7324912,7484112,7573776,7376144,7378432,7390800,7351088,7443712,7343840,7334144,7497680,7468880,7474544,7425456,7367056,7564320,7526576,7378320,7360432,7507248,7373712,7366016
17766,-29.992990700000064,7528736,7362416,7324912,7484112,7573776,7376144,7378432,7390800,7351088,7443712,7343840,7334144,7497680,7468880,7474544,7425456,7367056,7564320,7526576,7378320,7360432,7507248,7373712,7366016
17767,-29.42056070000001,7528736,7362416,7324912,7484112,7573776,7376144,7378432,7390800,7351088,7443712,7343840,7334144,7497680,7468880,7474544,7425456,7367056,7564320,7526576,7378320,7360432,7507248,7373712,7366016
17768,-28.848130800000035,7528736,7362416,7324912,7484112,7573776,7376144,7378432,7390800,7351088,7443712,7343840,7334144,7497680,7468880,7474544,7425456,7367056,7564320,7526576,7378320,7360432,7507248,7373712,7366016
